Country,Year,Total_cases,Total_deaths
Afghanistan,2020,52330.0,2189.0
Afghanistan,2021,105729.0,5167.0
Afghanistan,2022,49495.0,493.0
Afghanistan,2023,22821.0,124.0
Albania,2020,57146.0,1170.0
Albania,2021,151753.0,2042.0
Albania,2022,123869.0,384.0
Albania,2023,1828.0,8.0
Algeria,2020,99311.0,2751.0
Algeria,2021,118726.0,3520.0
Algeria,2022,53180.0,610.0
Algeria,2023,793.0,0.0
American Samoa,2020,0.0,0.0
American Samoa,2021,11.0,0.0
American Samoa,2022,8274.0,34.0
American Samoa,2023,74.0,0.0
Andorra,2020,7983.0,84.0
Andorra,2021,15139.0,56.0
Andorra,2022,24629.0,18.0
Andorra,2023,264.0,1.0
Angola,2020,17433.0,405.0
Angola,2021,59354.0,1352.0
Angola,2022,28308.0,173.0
Angola,2023,1833.0,7.0
Anguilla,2020,13.0,0.0
Anguilla,2021,1661.0,5.0
Anguilla,2022,2230.0,7.0
Anguilla,2023,0.0,0.0
Antigua and Barbuda,2020,158.0,5.0
Antigua and Barbuda,2021,4137.0,114.0
Antigua and Barbuda,2022,4811.0,27.0
Antigua and Barbuda,2023,0.0,0.0
Argentina,2020,1674319.0,48271.0
Argentina,2021,4106203.0,69905.0
Argentina,2022,4110617.0,11948.0
Argentina,2023,153818.0,348.0
Armenia,2020,159409.0,2823.0
Armenia,2021,185521.0,5149.0
Armenia,2022,100690.0,738.0
Armenia,2023,5806.0,65.0
Aruba,2020,5373.0,49.0
Aruba,2021,13648.0,132.0
Aruba,2022,24839.0,99.0
Aruba,2023,364.0,12.0
Australia,2020,28381.0,920.0
Australia,2021,338226.0,1523.0
Australia,2022,10418952.0,16467.0
Australia,2023,935976.0,5434.0
Austria,2020,352657.0,7379.0
Austria,2021,911872.0,9318.0
Austria,2022,4436317.0,4937.0
Austria,2023,381324.0,900.0
Azerbaijan,2020,216584.0,2575.0
Azerbaijan,2021,399768.0,5771.0
Azerbaijan,2022,209959.0,1662.0
Azerbaijan,2023,7943.0,345.0
Bahamas,2020,7857.0,170.0
Bahamas,2021,16619.0,547.0
Bahamas,2022,13015.0,116.0
Bahamas,2023,656.0,13.0
Bahrain,2020,92425.0,352.0
Bahrain,2021,188981.0,1042.0
Bahrain,2022,415208.0,142.0
Bahrain,2023,0.0,0.0
Bangladesh,2020,513510.0,7559.0
Bangladesh,2021,1072029.0,20513.0
Bangladesh,2022,451586.0,1368.0
Bangladesh,2023,9167.0,37.0
Barbados,2020,372.0,7.0
Barbados,2021,27938.0,253.0
Barbados,2022,77205.0,308.0
Barbados,2023,2279.0,25.0
Belarus,2020,192361.0,1414.0
Belarus,2021,505239.0,4147.0
Belarus,2022,296437.0,1557.0
Belarus,2023,0.0,0.0
Belgium,2020,645277.0,19638.0
Belgium,2021,1451435.0,8679.0
Belgium,2022,2588192.0,5002.0
Belgium,2023,163841.0,1020.0
Belize,2020,10668.0,241.0
Belize,2021,21399.0,356.0
Belize,2022,37879.0,91.0
Belize,2023,1437.0,0.0
Benin,2020,3251.0,44.0
Benin,2021,21793.0,117.0
Benin,2022,2942.0,2.0
Benin,2023,50.0,0.0
Bermuda,2020,595.0,10.0
Bermuda,2021,5736.0,96.0
Bermuda,2022,12291.0,47.0
Bermuda,2023,238.0,12.0
Bhutan,2020,670.0,0.0
Bhutan,2021,1990.0,3.0
Bhutan,2022,59871.0,18.0
Bhutan,2023,166.0,0.0
Bolivia (Plurinational State of),2020,156887.0,9135.0
Bolivia (Plurinational State of),2021,434886.0,10515.0
Bolivia (Plurinational State of),2022,564384.0,2641.0
Bolivia (Plurinational State of),2023,55939.0,94.0
"Bonaire, Sint Eustatius and Saba",2020,186.0,3.0
"Bonaire, Sint Eustatius and Saba",2021,3053.0,19.0
"Bonaire, Sint Eustatius and Saba",2022,8477.0,17.0
"Bonaire, Sint Eustatius and Saba",2023,206.0,2.0
Bosnia and Herzegovina,2020,110985.0,4050.0
Bosnia and Herzegovina,2021,179486.0,9378.0
Bosnia and Herzegovina,2022,110622.0,2806.0
Bosnia and Herzegovina,2023,2415.0,146.0
Botswana,2020,14637.0,43.0
Botswana,2021,207416.0,2409.0
Botswana,2022,105978.0,334.0
Botswana,2023,2386.0,14.0
Brazil,2020,7563551.0,192681.0
Brazil,2021,14700283.0,426136.0
Brazil,2022,14038581.0,74917.0
Brazil,2023,1209506.0,8382.0
British Virgin Islands,2020,93.0,1.0
British Virgin Islands,2021,3163.0,38.0
British Virgin Islands,2022,4049.0,25.0
British Virgin Islands,2023,115.0,0.0
Brunei Darussalam,2020,157.0,3.0
Brunei Darussalam,2021,15317.0,58.0
Brunei Darussalam,2022,254725.0,87.0
Brunei Darussalam,2023,60577.0,23.0
Bulgaria,2020,197384.0,7123.0
Bulgaria,2021,536498.0,23405.0
Bulgaria,2022,546735.0,7508.0
Bulgaria,2023,42961.0,594.0
Burkina Faso,2020,6707.0,85.0
Burkina Faso,2021,10925.0,233.0
Burkina Faso,2022,4391.0,77.0
